id MET1 MET2    m1%    m2%  cpu1  cpu2  McNemar Sgn    binom Sgn FFn00 TFn10 FTn01 TTn11  win
 1 NONE  DTW 0.9233 0.6933     4    35 48.51485   1  0.00000  -1     7    85    16   192 NONE
 1 NONE CDTW 0.9233 0.6800     4    38 55.31313   1  0.00000  -1    10    86    13   191 NONE
 1 NONE SAGA 0.9233 0.7733     4   105 31.58209   1  0.00000  -1    12    56    11   221 NONE
 1  DTW CDTW 0.6933 0.6800    35    38  0.28409   0  0.00000  -1    50    46    42   162  DTW
 1  DTW SAGA 0.6933 0.7733    35   105  4.26613   1  0.00000  -1    18    50    74   158 SAGA
 1 CDTW SAGA 0.6800 0.7733    38   105  6.28448   1  0.00000  -1    24    44    72   160 SAGA
 2 NONE  DTW 0.7900 0.5100     1    10 16.17308   1  0.00000  -1     9    40    12    39 NONE
 2 NONE CDTW 0.7900 0.6800     1     5  4.36364   1  0.00000  -1    10    22    11    57 NONE
 2 NONE SAGA 0.7900 0.4500     1    19 21.12069   1  0.00000  -1     9    46    12    33 NONE
 2  DTW CDTW 0.5100 0.6800    10     5  5.22449   1  0.00000  -1    16    16    33    35 CDTW
 2  DTW SAGA 0.5100 0.4500    10    19  1.06522   0  0.00000  -1    29    26    20    25  DTW
 2 CDTW SAGA 0.6800 0.4500     5    19  8.86154   1  0.00000  -1    11    44    21    24 CDTW
 3 NONE  DTW 0.8174 0.8069     0     0  1.40698   0  0.00000  -1   136    48    38   731 NONE
 3 NONE CDTW 0.8174 0.8174     0     0      Inf   0  2.00000   0   174     0     0   779 ----
 3 NONE SAGA 0.8174 0.7985     0     1  5.46970   1  0.00000  -1   150    42    24   737 NONE
 3  DTW CDTW 0.8069 0.8174     0     0  0.94186   0  0.00000  -1   136    38    48   731 CDTW
 3  DTW SAGA 0.8069 0.7985     0     1  0.92045   0  0.00000  -1   144    48    40   721  DTW
 3 CDTW SAGA 0.8174 0.7985     0     1  5.46970   1  0.00000  -1   150    42    24   737 CDTW
 4 NONE  DTW 0.7388 0.8453     0     0 17.56195   1  0.00000  -1    12    81   145   363  DTW
 4 NONE CDTW 0.7388 0.7388     0     0      Inf   0  2.00000   0   157     0     0   444 ----
 4 NONE SAGA 0.7388 0.6839     0     0 13.28736   1  0.00000  -1   130    60    27   384 NONE
 4  DTW CDTW 0.8453 0.7388     0     0 18.69469   1  0.00000  -1    12   145    81   363  DTW
 4  DTW SAGA 0.8453 0.6839     0     0 45.08920   1  0.00000  -1    35   155    58   353  DTW
 4 CDTW SAGA 0.7388 0.6839     0     0 13.28736   1  0.00000  -1   130    60    27   384 CDTW
 5 NONE  DTW 0.8673 0.8271     0     1 12.36029   1  0.00000  -1    84    88    48   775 NONE
 5 NONE CDTW 0.8673 0.8060     0     1 26.51034   1  0.00000  -1    90   103    42   760 NONE
 5 NONE SAGA 0.8673 0.7437     0     2 68.95067   1  0.00000  -1    82   173    50   690 NONE
 5  DTW CDTW 0.8271 0.8060     1     1  7.93443   1  0.00000  -1   152    41    20   782  DTW
 5  DTW SAGA 0.8271 0.7437     1     2 43.28834   1  0.00000  -1   132   123    40   700  DTW
 5 CDTW SAGA 0.8060 0.7437     1     2 24.50000   1  0.00000  -1   143   112    50   690 CDTW
 6 NONE  DTW 0.9403 0.5514     0     0 425.77970   1  0.00000  -1    58   453    10   618 NONE
 6 NONE CDTW 0.9403 0.5540     0     0 424.63100   1  0.00000  -1    59   449     9   622 NONE
 6 NONE SAGA 0.9403 0.5522     0     0 426.62826   1  0.00000  -1    59   451     9   620 NONE
 6  DTW CDTW 0.5514 0.5540     0     0  0.06557   0  0.00000  -1   479    29    32   599 CDTW
 6  DTW SAGA 0.5514 0.5522     0     0  0.00000   0  0.00000  -1   458    52    53   576 SAGA
 6 CDTW SAGA 0.5540 0.5522     0     0  0.18000   0  0.00000  -1   484    26    24   605 CDTW
 7 NONE  DTW 0.3000 0.2000     0     3  0.80000   0  0.37500   0    14     1     4    11  DTW
 7 NONE CDTW 0.3000 0.0667     0     1  0.80000   0  0.37500   0    14     1     4    11 CDTW
 7 NONE SAGA 0.3000 0.2667     0     3  2.28571   0  0.12500   0    12     1     6    11 SAGA
 7  DTW CDTW 0.2000 0.0667     3     1  0.50000   0  1.50000   0    14     1     1    14 ----
 7  DTW SAGA 0.2000 0.2667     3     3  0.50000   0  0.50000   0    13     0     2    15 SAGA
 7 CDTW SAGA 0.0667 0.2667     1     3  0.25000   0  0.62500   0    12     1     3    14 SAGA
 8 NONE  DTW 0.8706 0.8570     0     0  3.02804   0  0.00000  -1   117    62    45  1028 NONE
 8 NONE CDTW 0.8706 0.8706     0     0      Inf   0  2.00000   0   162     0     0  1090 ----
 8 NONE SAGA 0.8706 0.8363     0     0 14.34074   1  0.00000  -1   116    89    46  1001 NONE
 8  DTW CDTW 0.8570 0.8706     0     0  2.39252   0  0.00000  -1   117    45    62  1028 CDTW
 8  DTW SAGA 0.8570 0.8363     0     0  4.39157   1  0.00000  -1   109    96    70   977  DTW
 8 CDTW SAGA 0.8706 0.8363     0     0 14.34074   1  0.00000  -1   116    89    46  1001 CDTW
 9 NONE  DTW 0.6164 0.2466     0     9  6.05000   1  0.04139   1    23    15     5    30 NONE
 9 NONE CDTW 0.6164 0.2740     0     4 13.79310   1  0.00000  -1    23    24     5    21 NONE
 9 NONE SAGA 0.6164 0.4110     0    14 10.24000   1  0.00000  -1    23    20     5    25 NONE
 9  DTW CDTW 0.2466 0.2740     9     4  6.66667   1  0.03516   1    35    12     3    23  DTW
 9  DTW SAGA 0.2466 0.4110     9    14  1.56522   0  0.00000  -1    29    14     9    21  DTW
 9 CDTW SAGA 0.2740 0.4110     4    14  0.50000   0  0.48068   0    36     7    11    19 SAGA
10 NONE  DTW 0.6885 0.6230     0     8  1.13636   0  0.00000  -1    10    13     9    29 NONE
10 NONE CDTW 0.6885 0.3607     0     2 14.70000   1  0.00000  -1    14    25     5    17 NONE
10 NONE SAGA 0.6885 0.5738     0     8  3.76471   0  0.14346   0    14    12     5    30 NONE
10  DTW CDTW 0.6230 0.3607     8     2 13.13636   1  0.00000  -1    20    19     3    19  DTW
10  DTW SAGA 0.6230 0.5738     8     8  0.84211   0  0.64761   0    15    11     8    27  DTW
10 CDTW SAGA 0.3607 0.5738     2     8  4.64516   1  0.00000  -1    17     9    22    13 SAGA
11 NONE  DTW 0.9582 0.8251     0     1 118.28571   1  0.00000  -1    31   149    12   837 NONE
11 NONE CDTW 0.9582 0.9582     0     1  0.25000   0  1.37500   0    41     2     2   984 ----
11 NONE SAGA 0.9582 0.9640     0     3  1.56250   0  0.21011   0    32     5    11   981 SAGA
11  DTW CDTW 0.8251 0.9582     1     1 113.47239   1  0.00000  -1    30    13   150   836 CDTW
11  DTW SAGA 0.8251 0.9640     1     3 119.31361   1  0.00000  -1    24    13   156   836 SAGA
11 CDTW SAGA 0.9582 0.9640     1     3  1.56250   0  0.21011   0    32     5    11   981 SAGA
12 NONE  DTW 0.7667 0.6667     0     1  4.33898   1  0.00000  -1    13    37    22    78 NONE
12 NONE CDTW 0.7667 0.7667     0     1      Inf   0  2.00000   0    35     0     0   115 ----
12 NONE SAGA 0.7667 0.6867     0     2  4.22500   1  0.00000  -1    21    26    14    89 NONE
12  DTW CDTW 0.6667 0.7667     1     1  3.32203   0  0.00000  -1    13    22    37    78 CDTW
12  DTW SAGA 0.6667 0.6867     1     2  0.08889   0  0.00000  -1    26    21    24    79 SAGA
12 CDTW SAGA 0.7667 0.6867     1     2  4.22500   1  0.00000  -1    21    26    14    89 CDTW
13 NONE  DTW 0.8636 0.6477     0     1 17.39130   1  0.00000  -1    10    21     2    55 NONE
13 NONE CDTW 0.8636 0.7614     0     0 11.11111   1  0.00391   1    12     9     0    67 NONE
13 NONE SAGA 0.8636 0.8295     0     1  3.20000   0  0.37500   0    11     4     1    72 NONE
13  DTW CDTW 0.6477 0.7614     1     0  3.11538   0  0.00000  -1    13     8    18    49 CDTW
13  DTW SAGA 0.6477 0.8295     1     1 12.50000   1  0.00014   1    14     1    17    56 SAGA
13 CDTW SAGA 0.7614 0.8295     0     1  2.08333   0  0.14600   0    12     3     9    64 SAGA
14 NONE  DTW 0.9582 0.6945     0     0 229.00441   1  0.00000  -1    36   227     0   598 NONE
14 NONE CDTW 0.9582 0.9582     0     0      Inf   0  2.00000   0    36     0     0   825 ----
14 NONE SAGA 0.9582 0.6539     0     1 250.61232   1  0.00000  -1    29   269     7   556 NONE
14  DTW CDTW 0.6945 0.9582     0     0 225.00441   1  0.00000  -1    36     0   227   598 CDTW
14  DTW SAGA 0.6945 0.6539     0     1  5.46835   1  0.00000  -1   162   136   101   462  DTW
14 CDTW SAGA 0.9582 0.6539     0     1 250.61232   1  0.00000  -1    29   269     7   556 CDTW
15 NONE  DTW 0.8200 0.8000     0     3  0.32143   0  0.00000  -1     5    15    13    67 NONE
15 NONE CDTW 0.8200 0.8200     0     3      Inf   0  2.00000   0    18     0     0    82 ----
15 NONE SAGA 0.8200 0.7900     0     8  1.45455   0  0.54883   0    14     7     4    75 NONE
15  DTW CDTW 0.8000 0.8200     3     3  0.03571   0  0.00000  -1     5    13    15    67 CDTW
15  DTW SAGA 0.8000 0.7900     3     8  0.21053   0  1.00000   0    11    10     9    70  DTW
15 CDTW SAGA 0.8200 0.7900     3     8  1.45455   0  0.54883   0    14     7     4    75 CDTW
16 NONE  DTW 0.9641 0.3399     0     1 189.04615   1  0.00000  -1     9   193     2   102 NONE
16 NONE CDTW 0.9641 0.9641     0     0      Inf   0  2.00000   0    11     0     0   295 ----
16 NONE SAGA 0.9641 0.9739     0     1  1.33333   0  0.25000   0     8     0     3   295 SAGA
16  DTW CDTW 0.3399 0.9641     1     0 185.12821   1  0.00000  -1     9     2   193   102 CDTW
16  DTW SAGA 0.3399 0.9739     1     1 192.00515   1  0.00000  -1     8     0   194   104 SAGA
16 CDTW SAGA 0.9641 0.9739     0     1  1.33333   0  0.25000   0     8     0     3   295 SAGA
17 NONE  DTW 0.9643 0.6071     0     1 12.10000   1  0.00195   1     1    10     0    17 NONE
17 NONE CDTW 0.9643 0.7500     0     0  8.16667   1  0.03125   1     1     6     0    21 NONE
17 NONE SAGA 0.9643 0.7143     0     1  9.14286   1  0.01562   1     1     7     0    20 NONE
17  DTW CDTW 0.6071 0.7500     1     0  2.25000   0  0.12500   0     7     0     4    17 CDTW
17  DTW SAGA 0.6071 0.7143     1     1  0.80000   0  0.37500   0     7     1     4    16 SAGA
17 CDTW SAGA 0.7500 0.7143     0     1  0.80000   0  1.00000   0     5     3     2    18 CDTW
18 NONE  DTW 0.8800 0.7389     0     1 63.25869   1  0.00000  -1    42   193    66   599 NONE
18 NONE CDTW 0.8800 0.7356     0     0 84.95545   1  0.00000  -1    72   166    36   626 NONE
18 NONE SAGA 0.8800 0.8311     0     1 14.46429   1  0.00000  -1    60    92    48   700 NONE
18  DTW CDTW 0.7389 0.7356     1     0  0.08939   0  0.00000  -1   147    91    88   574  DTW
18  DTW SAGA 0.7389 0.8311     1     1 39.32164   1  0.00000  -1   108    44   127   621 SAGA
18 CDTW SAGA 0.7356 0.8311     0     1 33.14220   1  0.00000  -1    86    66   152   596 SAGA
19 NONE  DTW 0.5000 0.5000     0     2  0.50000   0  1.50000   0    14     1     1    14 ----
19 NONE CDTW 0.5000 0.5000     0     1      Inf   0  2.00000   0    15     0     0    15 ----
19 NONE SAGA 0.5000 0.5000     0     2  0.50000   0  1.50000   0    14     1     1    14 ----
19  DTW CDTW 0.5000 0.5000     2     1  0.50000   0  1.50000   0    14     1     1    14 ----
19  DTW SAGA 0.5000 0.5000     2     2  0.25000   0  1.37500   0    13     2     2    13 ----
19 CDTW SAGA 0.5000 0.5000     1     2  0.50000   0  1.50000   0    14     1     1    14 ----
20 NONE  DTW 0.8400 0.5714     2    64 41.89091   1  0.00000  -1    24    51     4    96 NONE
20 NONE CDTW 0.8400 0.6171     2    25 31.37255   1  0.00000  -1    22    45     6   102 NONE
20 NONE SAGA 0.8400 0.4800     2    96 56.10959   1  0.00000  -1    23    68     5    79 NONE
20  DTW CDTW 0.5714 0.6171    64    25  3.50000   0  0.05737   0    64     3    11    97 CDTW
20  DTW SAGA 0.5714 0.4800    64    96  5.35185   1  0.00000  -1    56    35    19    65  DTW
20 CDTW SAGA 0.6171 0.4800    25    96 10.77586   1  0.00000  -1    50    41    17    67 CDTW
21 NONE  DTW 0.4463 0.3636     2    75  5.51250   1  0.00000  -1   104    50    30    58 NONE
21 NONE CDTW 0.4463 0.3017     2    32 14.24176   1  0.00000  -1   106    63    28    45 NONE
21 NONE SAGA 0.4463 0.3223     2   117  9.42157   1  0.00000  -1    98    66    36    42 NONE
21  DTW CDTW 0.3636 0.3017    75    32  4.65455   1  0.00000  -1   134    35    20    53  DTW
21  DTW SAGA 0.3636 0.3223    75   117  1.47561   0  0.00000  -1   118    46    36    42  DTW
21 CDTW SAGA 0.3017 0.3223    32   117  0.22535   0  0.00000  -1   131    33    38    40 SAGA
22 NONE  DTW 0.1724 0.0611     9   142 94.70520   1  0.00000  -1   384   150    23    81 NONE
